date,underlying_price,strike_price,rv_yz,expiry_30d,expiry_60d,expiry_90d,ce_iv_30,ce_iv_60,ce_iv_90,ce_iv_30d_percentile,ce_iv_30d_rank,pe_iv_30,pe_iv_60,pe_iv_90,pe_iv_30d_percentile,pe_iv_30d_rank,avg_iv_30,avg_iv_60,avg_iv_90
2020-04-15,863.2999877929688,860.0,,30-Apr-2020,28-May-2020,25-Jun-2020,66.71793298963141,80.0190246776354,80.43551779361515,100.0,,69.49603257696147,76.1367016504742,75.45497927399852,100.0,,68.10698278329644,78.0778631640548,77.94524853380683
2020-04-16,879.75,880.0,0.2566407869731493,30-Apr-2020,28-May-2020,25-Jun-2020,65.64682588169973,77.95529828291241,78.40680825457575,50.0,0.0,62.05928168520056,74.07063683573402,73.37266152700647,50.0,0.0,63.85305378345014,76.01296755932322,75.88973489079112
2020-04-17,910.2999877929688,920.0,,30-Apr-2020,28-May-2020,25-Jun-2020,62.48859353964671,76.67546529873113,77.1122176929512,33.33333333333333,0.0,54.738361681224035,72.85412392041542,72.14550097531738,33.33333333333333,0.0,58.61347761043537,74.76479460957327,74.62885933413429
2020-04-20,944.8499755859375,940.0,,30-Apr-2020,28-May-2020,25-Jun-2020,56.27825381959652,52.694018786827336,76.2465342970103,25.0,0.0,59.154786897982284,72.09930565849967,71.38270038399601,50.0,0.2992630238172527,57.7165203587894,62.39666222266351,73.81461734050316
2020-04-21,921.6500244140625,920.0,,30-Apr-2020,28-May-2020,25-Jun-2020,56.01674484353949,52.192643679949356,74.55484969028147,20.0,0.0,60.70768839035865,56.21104892778952,69.76390768851155,60.0,0.4044897566362438,58.36221661694907,54.20184630386944,72.1593786893965
2020-04-22,928.5999755859375,920.0,,30-Apr-2020,28-May-2020,25-Jun-2020,55.73173353486312,71.94858006380811,72.42953101924627,16.666666666666664,0.0,58.66813330890175,55.38226234946024,67.71637379921245,33.33333333333333,0.2662867098366302,57.199933421882434,63.66542120663418,70.07295240922936
2020-04-23,954.9500122070312,960.0,,30-Apr-2020,28-May-2020,25-Jun-2020,48.81495281298762,46.298657954839626,71.04227952216098,14.285714285714285,0.0,55.58737224939922,67.03793955894923,66.30707965757219,28.57142857142857,0.057530119364595296,52.20116253119342,56.66829875689443,68.67467958986659
2020-04-24,938.0499877929688,940.0,,30-Apr-2020,28-May-2020,25-Jun-2020,46.14782677145117,45.93561133137866,69.27788260392553,12.5,0.0,52.38358359422992,51.90515940424767,64.60442479851238,12.5,0.0,49.26570518284055,48.92038536781317,66.94115370121895
2020-04-27,929.7000122070312,920.0,,30-Apr-2020,28-May-2020,25-Jun-2020,61.75868414026837,47.66664005316594,67.35088695053541,66.66666666666666,0.7589099056289772,52.48997090021339,49.06524953836343,62.816655343465435,22.22222222222222,0.006216953873220131,57.12432752024088,48.36594479576469,65.08377114700042
2020-04-28,931.4000244140625,940.0,,30-Apr-2020,28-May-2020,25-Jun-2020,56.36731526606662,43.47950677437431,65.2465654999135,60.0,0.4968126263530558,50.81485290682109,46.51467551932227,60.73031475588908,10.0,0.0,53.59108408644386,44.99709114684829,62.98844012790129
2020-04-29,977.0999755859375,980.0,,30-Apr-2020,28-May-2020,25-Jun-2020,54.99356388632619,42.59843934103963,65.94828623878948,27.27272727272727,0.4300287524552011,42.87140930366481,43.345628324840945,61.468134809214625,9.090909090909092,0.0,48.9324865949955,42.972033832940284,63.708210524002055
2020-04-30,1001.7999877929688,1000.0,,30-Apr-2020,28-May-2020,25-Jun-2020,0.0,35.572024009642334,64.73120584243281,8.333333333333332,0.0,0.0,42.652887398227634,60.314366732825775,8.333333333333332,0.0,0.0,39.112455703934984,62.522786287629295
2020-05-04,923.0,920.0,0.21726060208974277,28-May-2020,25-Jun-2020,30-Jul-2020,48.393865671923095,70.18780968657366,70.68164704688398,23.076923076923077,0.7253501945188253,56.40137005097894,65.94192142024475,65.16940258699857,61.53846153846154,0.8115768333756146,52.39761786145102,68.0648655534092,67.92552481694128
2020-05-05,911.4500122070312,920.0,0.18043569113180002,28-May-2020,25-Jun-2020,30-Jul-2020,52.250131472156895,68.19996038298434,68.71698758808647,35.714285714285715,0.7831497339744782,51.98579828949676,63.95722321748221,63.169041081037136,28.57142857142857,0.748039799709811,52.11796488082683,66.07859180023328,65.94301433456181
2020-05-06,946.4000244140625,940.0,0.21790012121127492,28-May-2020,25-Jun-2020,30-Jul-2020,48.90566409739831,67.80558144877484,68.32495327301001,33.33333333333333,0.7330212718820097,51.054841317385666,63.64776082041761,62.88272974063429,26.666666666666668,0.7346439706589925,49.98025270739198,65.72667113459623,65.60384150682215
2020-05-07,925.0,920.0,0.21731540061396665,28-May-2020,25-Jun-2020,30-Jul-2020,49.67584449607541,66.3673118973355,66.88205728937066,37.5,0.7445651007173065,48.96314154319412,62.2559518526586,61.45530946417879,18.75,0.7045458528725541,49.31949301963476,64.31163187499705,64.16868337677472
2020-05-08,929.0499877929688,920.0,0.21250528127491652,28-May-2020,25-Jun-2020,30-Jul-2020,42.33404130049332,64.45262460308902,64.95883187714442,11.76470588235294,0.6345226748417464,50.257922385662226,60.38023030912283,59.59755722219189,23.52941176470588,0.723176856606965,46.29598184307777,62.41642745610592,62.27819454966816
