INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,GAIL,26-Dec-2024,2024-12-26,235.00,PE,0.00,0.00,0.00,4.00,32.25,0,0.00,4575,0,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,235.00,CE,0.30,0.35,0.20,0.25,0.25,212,2281.93451,1518900,123525,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,235.00,PE,0.00,0.00,0.00,20.85,31.55,0,0.00,86925,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,235.00,CE,0.00,0.00,0.00,20.65,2.10,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,235.00,PE,0.00,0.00,0.00,38.15,33.50,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,235.00,CE,0.00,0.00,0.00,7.40,4.90,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,240.00,CE,0.00,0.00,0.00,6.35,4.00,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,170.00,CE,0.00,0.00,0.00,37.75,37.65,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,170.00,PE,0.50,0.50,0.50,0.50,0.85,1,7.800375,32025,-4575,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,170.00,PE,0.20,0.20,0.15,0.20,0.05,9,70.0729875,576450,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,177.50,PE,0.00,0.00,0.00,4.25,1.75,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,177.50,PE,0.30,0.30,0.30,0.30,0.30,6,48.8061,215025,4575,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,245.00,PE,0.00,0.00,0.00,31.00,41.35,0,0.00,50325,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,225.00,PE,0.00,0.00,0.00,30.85,26.00,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,225.00,PE,0.00,0.00,0.00,15.85,24.00,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,225.00,CE,0.00,0.00,0.00,9.85,7.25,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,225.00,PE,22.40,22.40,19.90,20.40,22.20,4,45.059175,507825,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,225.00,CE,0.00,0.00,0.00,25.45,3.80,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,190.00,PE,0.00,0.00,0.00,2.00,4.55,0,0.00,22875,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,207.50,CE,0.00,0.00,0.00,11.55,9.30,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,177.50,CE,0.00,0.00,0.00,28.70,28.65,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,177.50,CE,0.00,0.00,0.00,32.00,26.30,0,0.00,27450,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,212.50,CE,0.00,0.00,0.00,9.65,7.35,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,240.00,CE,0.00,0.00,0.00,18.50,1.55,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,28-Nov-2024,2024-11-28,210.00,PE,8.95,9.50,6.75,8.85,8.85,246,2456.37697,3435825,-183000,11-NOV-2024
OPTSTK,GAIL,26-Dec-2024,2024-12-26,210.00,CE,6.60,7.50,6.20,6.20,6.20,9,89.281125,118950,9150,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,210.00,PE,0.00,0.00,0.00,21.15,16.30,0,0.00,0,0,11-NOV-2024
OPTSTK,GAIL,30-Jan-2025,2025-01-30,180.00,PE,0.00,0.00,0.00,7.45,4.15,0,0.00,0,0,11-NOV-2024
