INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,172.50,PE,0.00,0.00,0.00,18.10,20.10,0,0.00,0,0,03-MAR-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,162.50,PE,0.00,0.00,0.00,11.65,12.60,0,0.00,0,0,03-MAR-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,150.00,PE,0.00,0.00,0.00,2.90,5.65,0,0.00,0,0,03-MAR-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,175.00,CE,0.00,0.00,0.00,16.20,1.80,0,0.00,0,0,03-MAR-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,157.50,CE,5.80,6.20,3.15,3.80,3.80,473,2068.4295,796500,145800,03-MAR-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,157.50,CE,0.00,0.00,0.00,10.85,6.40,0,0.00,0,0,03-MAR-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,137.50,PE,1.35,1.40,1.35,1.40,0.60,2,7.49925,5400,0,03-MAR-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,160.00,PE,6.25,10.15,6.25,8.95,8.95,194,882.06975,1452600,97200,03-MAR-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,200.00,PE,41.80,46.00,41.80,45.60,46.15,6,39.3876,2308500,2700,03-MAR-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,190.00,PE,0.00,0.00,0.00,30.70,36.20,0,0.00,718200,0,03-MAR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,180.00,PE,0.00,0.00,0.00,25.10,27.00,0,0.00,0,0,03-MAR-2025
