INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,170.00,CE,27.00,29.40,23.40,25.75,25.75,215,1588.23375,506250,-405000,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,170.00,PE,1.30,1.30,0.85,1.05,1.05,280,1795.70437,671250,247500,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,CE,0.20,1.10,0.05,0.15,0.15,2048,15784.5056,1316250,131250,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,PE,10.70,11.65,6.55,9.70,9.70,109,876.436875,41250,-75000,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,205.00,CE,5.00,7.65,4.90,5.10,5.10,1583,12531.7143,2100000,1968750,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,150.00,PE,0.05,0.05,0.05,0.05,0.00,6,33.76125,686250,-18750,25-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,170.00,CE,0.00,0.00,0.00,19.00,33.90,0,0.00,33750,0,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,155.00,PE,0.20,0.40,0.20,0.25,1.20,4,23.29125,11250,7500,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,220.00,CE,0.15,0.20,0.05,0.05,0.05,115,949.213125,633750,165000,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,140.00,PE,0.00,0.00,0.00,0.35,0.30,0,0.00,60000,0,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,200.00,CE,0.85,2.60,0.25,0.40,0.40,8565,64655.7956,2973750,-41250,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,200.00,PE,11.10,12.00,8.55,10.15,10.15,733,5771.76937,802500,682500,25-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,200.00,CE,10.00,12.90,10.00,10.25,10.25,10,79.35375,22500,22500,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,200.00,CE,7.15,9.85,6.50,6.95,6.95,5706,44508.8231,4691250,3078750,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,175.00,CE,19.50,24.85,18.65,20.45,20.45,1246,9153.375,1215000,-3195000,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,140.00,PE,0.00,0.00,0.00,0.05,0.00,0,0.00,45000,0,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,195.00,CE,2.35,5.70,0.95,1.30,1.30,5684,42102.7687,1275000,273750,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,185.00,CE,9.80,14.65,8.40,10.45,10.45,931,6842.99812,1736250,-656250,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,185.00,PE,0.45,0.55,0.15,0.20,0.20,1301,9037.82812,1901250,-412500,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,165.00,PE,0.05,0.05,0.05,0.05,0.00,10,61.89375,1395000,-18750,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,190.00,CE,11.25,15.50,11.05,12.00,12.00,1451,11044.4493,1222500,-386250,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,220.00,PE,25.00,25.00,22.10,23.50,24.80,7,63.90375,11250,-15000,25-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,220.00,CE,0.00,0.00,0.00,9.50,10.10,0,0.00,0,0,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,220.00,CE,1.20,3.50,1.20,2.15,2.15,1042,8701.55062,832500,753750,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,160.00,CE,36.05,37.00,36.05,37.00,38.15,8,59.02125,828750,0,25-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,210.00,PE,0.00,0.00,0.00,35.50,25.35,0,0.00,0,0,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,155.00,CE,41.50,41.50,41.00,41.00,42.55,2,14.71875,7500,7500,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,180.00,CE,18.75,22.25,17.85,18.90,18.90,155,1160.24437,922500,82500,25-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,180.00,PE,0.45,0.45,0.05,0.10,0.10,832,5620.43062,1710000,-26250,25-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,170.00,CE,28.50,29.00,28.00,28.00,30.05,10,74.49375,165000,-11250,25-SEP-2024
OPTSTK,COFORGE,26-Sep-2024,2024-09-26,7700.00,CE,0.45,1.05,0.20,0.50,0.00,61,704.5956,18600,-4950,25-SEP-2024
FUTSTK,COFORGE,31-Oct-2024,2024-10-31,,,7056.15,7125.95,6901.10,6948.00,6948.00,8076,84797.8646,1873950,492300,25-SEP-2024
OPTSTK,COFORGE,31-Oct-2024,2024-10-31,6700.00,PE,174.70,205.00,134.15,190.95,190.95,112,1154.20245,5700,5700,25-SEP-2024
OPTSTK,COFORGE,31-Oct-2024,2024-10-31,6500.00,CE,635.00,644.50,553.00,573.50,573.50,11,117.196425,4950,1050,25-SEP-2024
FUTSTK,COFORGE,28-Nov-2024,2024-11-28,,,7207.40,7207.40,6890.00,6927.75,6927.75,156,1638.67327,23550,9600,25-SEP-2024
OPTSTK,COFORGE,28-Nov-2024,2024-11-28,5600.00,CE,0.00,0.00,0.00,956.60,1418.00,0,0.00,0,0,25-SEP-2024
OPTSTK,COFORGE,26-Sep-2024,2024-09-26,7500.00,CE,1.65,3.60,0.90,1.15,1.15,784,8821.97445,35400,-1050,25-SEP-2024
OPTSTK,COFORGE,26-Sep-2024,2024-09-26,6000.00,PE,0.55,0.60,0.10,0.40,0.40,91,819.03585,41400,-3600,25-SEP-2024
OPTSTK,COFORGE,28-Nov-2024,2024-11-28,6000.00,CE,0.00,0.00,0.00,699.40,1080.25,0,0.00,0,0,25-SEP-2024
