INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,145.00,PE,0.65,0.85,0.60,0.75,0.75,112,440.80065,610200,118800,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,175.00,PE,9.45,15.30,9.45,15.05,14.60,135,686.21175,1109700,-275400,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,140.00,PE,0.00,0.00,0.00,1.05,0.95,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,170.00,PE,0.00,0.00,0.00,8.90,13.90,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,172.50,PE,10.20,11.30,10.20,11.15,12.45,6,29.66895,450900,-8100,11-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,210.00,PE,0.00,0.00,0.00,33.90,47.25,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,162.50,PE,0.00,0.00,0.00,4.40,7.90,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,165.00,PE,0.00,0.00,0.00,5.00,9.30,0,0.00,2700,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,150.00,PE,0.70,1.50,0.70,1.40,1.40,568,2319.4323,1231200,-164700,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,210.00,PE,0.00,0.00,0.00,30.00,47.85,0,0.00,2700,0,11-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,145.00,PE,0.00,0.00,0.00,2.05,2.95,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,202.50,CE,0.00,0.00,0.00,0.15,0.05,0,0.00,29700,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,205.00,CE,0.15,0.15,0.10,0.10,0.05,12,66.4632,240300,-16200,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,135.00,CE,0.00,0.00,0.00,52.50,27.10,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,152.50,CE,0.00,0.00,0.00,28.50,12.90,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,147.50,CE,0.00,0.00,0.00,39.70,14.10,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,192.50,CE,0.00,0.00,0.00,0.35,0.05,0,0.00,240300,0,11-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,160.00,CE,0.00,0.00,0.00,25.20,10.95,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,140.00,PE,0.00,0.00,0.00,0.70,0.10,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,157.50,PE,0.00,0.00,0.00,3.10,5.50,0,0.00,0,0,11-FEB-2025
FUTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,,,168.28,168.28,160.12,160.74,160.74,2763,12137.8464,66822300,-1174500,11-FEB-2025
FUTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,,,167.10,167.10,162.32,162.64,162.64,87,386.24121,461700,91800,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,190.00,PE,27.00,27.00,27.00,27.00,28.75,1,5.859,2700,2700,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,160.00,PE,7.90,7.90,7.90,7.90,6.60,1,4.5333,43200,2700,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,185.00,PE,0.00,0.00,0.00,17.80,24.00,0,0.00,299700,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,177.50,PE,0.00,0.00,0.00,10.35,16.85,0,0.00,399600,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,162.50,PE,3.95,5.85,3.75,5.35,5.35,233,1052.7327,162000,54000,11-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,185.00,CE,0.00,0.00,0.00,11.65,2.80,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,162.50,CE,9.00,9.00,9.00,9.00,7.25,1,4.6305,2700,2700,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,210.00,CE,0.05,0.10,0.05,0.10,0.10,53,300.62475,518400,-40500,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,197.50,CE,0.00,0.00,0.00,0.40,0.05,0,0.00,189000,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,195.00,CE,0.15,0.20,0.10,0.20,0.05,76,400.48155,594000,-56700,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,200.00,PE,0.00,0.00,0.00,31.25,38.15,0,0.00,18900,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,197.50,PE,0.00,0.00,0.00,23.00,35.75,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,140.00,CE,0.00,0.00,0.00,57.05,21.10,0,0.00,0,0,11-FEB-2025
OPTSTK,ABCAPITAL,27-Feb-2025,2025-02-27,145.00,CE,20.30,20.70,20.30,20.30,16.35,5,22.3398,10800,10800,11-FEB-2025
