INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,620.00,CE,0.00,0.00,0.00,140.50,133.25,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,620.00,PE,0.00,0.00,0.00,7.05,0.15,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,620.00,CE,0.00,0.00,0.00,107.80,129.90,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,680.00,CE,0.00,0.00,0.00,72.65,69.95,0,0.00,7500,0,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,680.00,PE,0.40,0.50,0.30,0.50,0.50,41,418.4325,117000,-10500,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,680.00,CE,0.00,0.00,0.00,94.20,76.15,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,26-Dec-2024,2024-12-26,640.00,PE,0.00,0.00,0.00,5.15,2.15,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,26-Dec-2024,2024-12-26,840.00,PE,0.00,0.00,0.00,77.30,89.70,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,760.00,PE,17.60,21.25,11.00,12.35,12.35,278,3228.1575,231000,-1500,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,710.00,PE,1.50,1.80,0.75,0.85,0.85,293,3125.26425,202500,-3000,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,660.00,CE,0.00,0.00,0.00,73.10,89.90,0,0.00,1500,0,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,710.00,CE,0.00,0.00,0.00,93.65,51.35,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,870.00,CE,0.00,0.00,0.00,16.90,0.95,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,660.00,CE,0.00,0.00,0.00,108.60,94.50,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,31-Oct-2024,2024-10-31,880.00,PE,0.00,0.00,0.00,169.85,129.95,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,26-Dec-2024,2024-12-26,820.00,CE,0.00,0.00,0.00,41.95,12.15,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,28-Nov-2024,2024-11-28,820.00,CE,0.00,0.00,0.00,27.10,4.80,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,26-Dec-2024,2024-12-26,820.00,PE,0.00,0.00,0.00,64.95,73.70,0,0.00,0,0,28-OCT-2024
OPTSTK,ICICIPRULI,26-Dec-2024,2024-12-26,600.00,CE,0.00,0.00,0.00,195.10,156.55,0,0.00,0,0,28-OCT-2024
