INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1560.00,PE,49.00,60.25,48.35,55.00,55.00,12,135.71075,100800,2800,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1660.00,PE,0.00,0.00,0.00,79.15,138.55,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1340.00,CE,0.00,0.00,0.00,324.45,200.00,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1760.00,CE,0.00,0.00,0.00,64.55,12.80,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1540.00,CE,37.85,41.25,29.30,33.50,33.50,500,5513.12055,85400,26600,09-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1600.00,PE,0.00,0.00,0.00,63.95,102.30,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1320.00,PE,0.00,0.00,0.00,27.85,2.85,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1320.00,CE,0.00,0.00,0.00,180.00,209.05,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1720.00,PE,0.00,0.00,0.00,123.50,190.30,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1360.00,PE,2.10,2.25,1.55,2.00,2.00,23,219.2414,46900,4900,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1720.00,PE,0.00,0.00,0.00,259.35,189.25,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1560.00,CE,23.30,31.25,22.10,24.05,24.05,321,3565.30335,121800,-9100,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1580.00,CE,0.00,0.00,0.00,129.00,39.10,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1640.00,PE,0.00,0.00,0.00,87.45,116.35,0,0.00,32900,0,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1520.00,CE,0.00,0.00,0.00,68.40,65.75,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1540.00,PE,41.00,47.35,37.35,43.60,43.60,80,885.8605,169400,9800,09-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1560.00,PE,0.00,0.00,0.00,49.10,78.75,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1560.00,CE,0.00,0.00,0.00,161.85,64.55,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1560.00,CE,0.00,0.00,0.00,54.25,46.90,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1700.00,PE,0.00,0.00,0.00,176.70,171.50,0,0.00,23800,0,09-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1640.00,PE,0.00,0.00,0.00,194.70,122.95,0,0.00,0,0,09-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1280.00,CE,0.00,0.00,0.00,209.95,248.70,0,0.00,0,0,09-OCT-2024
