INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,NMDC,26-Dec-2024,2024-12-26,205.00,CE,0.00,0.00,0.00,26.70,25.45,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,250.00,PE,20.70,23.15,19.85,23.05,227.75,129,1576.28025,963000,94500,28-NOV-2024
OPTSTK,NMDC,30-Jan-2025,2025-01-30,250.00,CE,5.55,5.55,5.00,5.00,7.05,2,22.97475,49500,4500,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,250.00,CE,1.90,2.15,1.60,1.85,1.85,946,10722.4605,4936500,202500,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,240.00,CE,3.95,4.70,3.65,3.95,3.95,1124,12346.902,4000500,540000,28-NOV-2024
OPTSTK,NMDC,30-Jan-2025,2025-01-30,180.00,CE,0.00,0.00,0.00,48.95,50.60,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,180.00,PE,0.00,0.00,0.00,0.05,227.75,0,0.00,499500,0,28-NOV-2024
OPTSTK,NMDC,30-Jan-2025,2025-01-30,230.00,CE,0.00,0.00,0.00,18.55,14.35,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,30-Jan-2025,2025-01-30,230.00,PE,0.00,0.00,0.00,22.50,13.95,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,230.00,PE,2.10,3.45,1.05,2.40,227.75,351,3664.99575,1071000,-895500,28-NOV-2024
OPTSTK,NMDC,30-Jan-2025,2025-01-30,270.00,CE,0.00,0.00,0.00,7.00,3.10,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,215.00,PE,3.00,3.20,2.40,2.90,2.90,423,4146.82875,688500,211500,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,270.00,PE,38.00,40.50,38.00,40.50,41.45,3,41.77125,90000,13500,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,225.00,CE,10.50,12.15,10.10,10.65,10.65,250,2655.7245,1057500,198000,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,255.00,CE,0.05,0.05,0.05,0.05,227.75,8,91.818,751500,0,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,225.00,CE,3.90,5.75,2.10,2.70,227.75,344,3544.7265,2245500,-603000,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,225.00,PE,0.45,0.60,0.05,0.05,227.75,385,3902.9355,1975500,-432000,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,225.00,PE,5.90,6.55,5.10,6.05,6.05,353,3667.995,1219500,400500,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,235.00,CE,0.20,0.25,0.05,0.05,227.75,784,8295.02775,2142000,-711000,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,235.00,PE,5.45,8.10,4.65,7.70,227.75,86,935.25525,1116000,-229500,28-NOV-2024
OPTSTK,NMDC,28-Nov-2024,2024-11-28,190.00,PE,0.05,0.05,0.05,0.05,227.75,8,68.418,949500,0,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,190.00,CE,0.00,0.00,0.00,51.65,39.05,0,0.00,0,0,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,235.00,CE,5.75,6.70,5.25,5.55,5.55,821,8896.2255,1795500,9000,28-NOV-2024
OPTSTK,NMDC,26-Dec-2024,2024-12-26,235.00,PE,10.60,11.70,9.45,11.10,11.10,131,1448.14275,702000,310500,28-NOV-2024
