INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,150.00,PE,0.10,0.15,0.05,0.10,0.05,24,135.09,813750,-26250,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,170.00,CE,0.00,0.00,0.00,19.00,28.65,0,0.00,33750,0,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,160.00,PE,0.00,0.00,0.00,8.90,6.20,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,200.00,PE,12.55,15.95,11.90,15.80,15.80,94,755.743125,453750,-86250,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,200.00,PE,0.00,0.00,0.00,28.75,24.50,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,190.00,PE,0.00,0.00,0.00,22.65,18.65,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,155.00,PE,0.00,0.00,0.00,5.10,2.70,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,220.00,PE,33.80,33.80,33.80,33.80,33.10,1,9.5175,26250,0,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,220.00,CE,0.00,0.00,0.00,9.50,8.30,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,CE,0.80,1.05,0.45,0.50,0.50,561,4327.57687,1867500,37500,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,PE,18.65,20.70,16.45,20.55,20.55,28,235.86,153750,56250,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,205.00,CE,3.95,4.20,2.80,3.35,3.35,36,281.46375,165000,101250,17-SEP-2024
FUTSTK,NATIONALUM,26-Sep-2024,2024-09-26,,,188.80,190.14,184.66,184.93,184.93,7082,49708.9957,91800000,-258750,17-SEP-2024
FUTSTK,NATIONALUM,28-Nov-2024,2024-11-28,,,190.03,190.98,186.35,186.43,186.43,36,254.37675,333750,45000,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,150.00,CE,36.70,36.70,36.30,36.30,37.10,4,27.975,41250,-11250,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,140.00,PE,0.00,0.00,0.00,3.65,2.10,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,195.00,PE,8.75,11.50,7.70,11.30,11.30,128,982.655625,420000,45000,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,220.00,CE,1.45,1.45,1.20,1.20,4.65,3,24.89625,11250,11250,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,185.00,CE,10.90,10.90,9.20,9.40,9.40,57,417.3075,303750,97500,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,185.00,PE,6.30,7.90,6.15,7.85,7.85,21,151.453125,138750,60000,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,205.00,PE,0.00,0.00,0.00,28.90,24.60,0,0.00,15000,0,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,195.00,CE,6.70,7.10,5.25,5.65,11.60,30,226.33125,97500,37500,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,215.00,CE,0.30,0.40,0.20,0.20,0.20,46,371.4075,195000,-15000,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,190.00,CE,11.70,11.70,7.00,7.15,7.15,219,1627.17937,870000,225000,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,140.00,PE,0.00,0.00,0.00,0.65,0.85,0,0.00,56250,0,17-SEP-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,140.00,PE,0.05,0.05,0.05,0.05,0.05,4,21.0075,56250,-11250,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,150.00,PE,0.00,0.00,0.00,5.90,3.80,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,28-Nov-2024,2024-11-28,150.00,CE,0.00,0.00,0.00,41.30,42.70,0,0.00,0,0,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,180.00,PE,4.55,5.65,4.35,5.45,5.45,62,430.213125,468750,123750,17-SEP-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,190.00,PE,9.20,10.70,8.45,10.50,10.50,109,815.660625,416250,191250,17-SEP-2024
