INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BANKBARODA,26-Dec-2024,2024-12-26,,,254.00,256.55,251.90,252.35,252.35,162,1201.48031,447525,386100,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,265.00,CE,2.70,3.35,2.30,2.45,2.45,842,6595.48305,1213875,46800,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,280.00,PE,0.00,0.00,0.00,40.05,37.95,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,220.00,PE,0.00,0.00,0.00,8.35,7.35,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,225.00,PE,0.00,0.00,0.00,9.95,8.85,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,250.00,PE,9.40,10.60,9.40,10.60,10.60,11,83.687175,32175,32175,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,237.50,PE,0.00,0.00,0.00,12.15,10.70,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,247.50,CE,0.00,0.00,0.00,17.65,18.40,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,230.00,PE,0.00,0.00,0.00,11.80,10.55,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,267.50,PE,19.75,21.10,17.95,20.70,20.70,38,320.085675,81900,40950,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,257.50,CE,4.65,5.80,4.05,4.25,4.25,225,1726.76058,207675,87750,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,240.00,PE,6.50,7.00,5.60,6.40,11.75,19,136.89,160875,29250,30-SEP-2024
FUTSTK,BANKBARODA,28-Nov-2024,2024-11-28,,,251.65,254.85,249.55,250.45,250.45,482,3553.35727,3457350,2925,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,215.00,CE,34.15,34.35,34.00,34.20,34.20,13,94.7568375,20475,20475,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,267.50,CE,2.30,2.70,1.90,2.00,2.00,58,457.450987,131625,64350,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,262.50,PE,15.80,16.50,13.20,16.10,16.10,30,244.092712,46800,38025,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,230.00,PE,0.00,0.00,0.00,10.95,7.95,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,237.50,CE,0.00,0.00,0.00,22.80,23.75,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,275.00,PE,0.00,0.00,0.00,36.50,34.45,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,255.00,PE,13.40,13.40,13.40,13.40,13.40,1,7.8507,2925,2925,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,247.50,CE,8.95,10.90,8.10,8.60,8.60,359,2695.9257,365625,149175,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,280.00,PE,31.00,32.10,27.55,31.55,31.55,17,154.77345,257400,2925,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,285.00,CE,0.65,0.80,0.55,0.60,0.60,76,635.018962,172575,20475,30-SEP-2024
OPTSTK,BANKBARODA,26-Dec-2024,2024-12-26,250.00,CE,16.00,16.00,16.00,16.00,21.45,1,7.7805,2925,2925,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,262.50,PE,0.00,0.00,0.00,25.70,23.70,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,262.50,CE,3.40,4.00,2.80,2.95,2.95,67,520.892775,169650,49725,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,220.00,PE,0.00,0.00,0.00,7.75,5.05,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,230.00,CE,0.00,0.00,0.00,34.85,28.45,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,242.50,CE,12.70,13.70,11.10,11.50,11.50,71,528.654262,108225,73125,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,275.00,CE,0.00,0.00,0.00,8.00,8.20,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,28-Nov-2024,2024-11-28,220.00,CE,0.00,0.00,0.00,41.50,35.45,0,0.00,0,0,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,232.50,PE,1.75,2.45,1.75,2.35,2.35,49,336.3633,146250,17550,30-SEP-2024
OPTSTK,BANKBARODA,31-Oct-2024,2024-10-31,220.00,CE,31.30,34.20,29.65,29.80,29.80,14,102.823987,228150,11700,30-SEP-2024
