INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,180.00,PE,3.00,3.70,2.65,3.20,3.20,395,2711.82187,1863750,-30000,29-JUL-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,200.00,PE,0.00,0.00,0.00,28.30,20.85,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,200.00,PE,12.10,13.85,11.25,12.55,12.55,86,684.20625,825000,-30000,29-JUL-2024
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,240.00,CE,0.45,0.50,0.40,0.40,1.55,6,54.10125,356250,18750,29-JUL-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,185.00,CE,0.00,0.00,0.00,18.00,21.80,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,185.00,PE,0.00,0.00,0.00,16.60,12.95,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,205.00,CE,3.85,4.10,3.10,3.70,3.70,305,2386.54125,573750,93750,29-JUL-2024
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,205.00,PE,16.10,17.30,15.00,16.00,16.00,22,182.28375,135000,3750,29-JUL-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,CE,0.00,0.00,0.00,10.50,12.95,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,26-Sep-2024,2024-09-26,205.00,PE,0.00,0.00,0.00,28.80,23.90,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,31-Oct-2024,2024-10-31,210.00,PE,0.00,0.00,0.00,35.40,30.70,0,0.00,0,0,29-JUL-2024
OPTSTK,NATIONALUM,29-Aug-2024,2024-08-29,210.00,PE,20.00,21.35,18.80,19.95,19.95,20,172.35,168750,11250,29-JUL-2024
