INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,257.50,CE,0.00,0.00,0.00,20.45,14.65,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,245.00,CE,0.00,0.00,0.00,18.40,20.35,0,0.00,33750,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,272.50,CE,2.05,2.35,1.80,1.90,1.90,116,1194.165,206250,15000,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,270.00,PE,0.00,0.00,0.00,49.95,29.25,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,250.00,PE,13.45,14.25,13.45,14.25,17.10,2,19.78875,22500,3750,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,267.50,CE,3.60,3.60,2.40,2.65,2.65,161,1631.86687,262500,112500,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,240.00,CE,0.00,0.00,0.00,20.00,23.00,0,0.00,3750,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,270.00,PE,21.50,24.00,19.60,24.00,24.35,17,186.215625,97500,22500,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,262.50,PE,14.45,16.45,14.25,16.45,18.75,7,72.84,33750,3750,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,262.50,PE,0.00,0.00,0.00,28.65,24.35,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,262.50,CE,4.35,5.10,3.35,3.75,3.75,271,2709.82125,300000,-22500,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,215.00,PE,0.65,0.80,0.50,0.55,0.55,527,4261.56,1372500,746250,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,215.00,CE,0.00,0.00,0.00,32.95,39.75,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,237.50,CE,18.70,18.70,15.30,15.60,17.15,12,114.399375,56250,-7500,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,200.00,PE,0.20,0.25,0.15,0.15,0.15,19,142.65375,963750,11250,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,200.00,CE,50.50,50.50,47.30,47.30,49.15,10,93.3525,153750,-33750,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,250.00,PE,9.20,10.60,7.15,8.80,8.80,2056,19935.5081,2640000,408750,06-DEC-2024
OPTSTK,NATIONALUM,27-Feb-2025,2025-02-27,280.00,CE,0.00,0.00,0.00,17.55,11.55,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,27-Feb-2025,2025-02-27,280.00,PE,0.00,0.00,0.00,43.50,39.05,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,280.00,CE,1.30,1.65,1.00,1.10,1.10,710,7488.9675,1335000,63750,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,230.00,CE,0.00,0.00,0.00,25.60,29.05,0,0.00,33750,0,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,247.50,PE,0.00,0.00,0.00,20.25,15.85,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,247.50,CE,9.50,12.25,8.55,9.70,9.70,648,6260.88,581250,-48750,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,240.00,PE,5.00,5.95,3.75,4.70,4.70,1157,10611.6937,2152500,-142500,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,240.00,CE,16.50,17.10,12.75,14.10,14.10,317,3029.1,2043750,-15000,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,257.50,CE,5.05,6.95,4.85,5.30,5.30,332,3279.54375,405000,0,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,215.00,PE,1.55,1.85,1.55,1.85,4.30,3,24.384375,150000,11250,06-DEC-2024
OPTSTK,NATIONALUM,26-Dec-2024,2024-12-26,237.50,PE,4.10,5.00,3.25,4.00,4.00,199,1801.61625,202500,15000,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,275.00,CE,0.00,0.00,0.00,11.00,8.80,0,0.00,0,0,06-DEC-2024
OPTSTK,NATIONALUM,30-Jan-2025,2025-01-30,265.00,PE,0.00,0.00,0.00,46.30,25.90,0,0.00,0,0,06-DEC-2024
OPTSTK,ABFRL,26-Dec-2024,2024-12-26,370.00,PE,0.00,0.00,0.00,43.00,61.60,0,0.00,0,0,06-DEC-2024
OPTSTK,ABFRL,30-Jan-2025,2025-01-30,370.00,CE,0.00,0.00,0.00,9.85,2.40,0,0.00,0,0,06-DEC-2024
OPTSTK,ABFRL,27-Feb-2025,2025-02-27,340.00,CE,0.00,0.00,0.00,20.00,10.95,0,0.00,0,0,06-DEC-2024
OPTSTK,ABFRL,26-Dec-2024,2024-12-26,340.00,CE,1.50,1.55,0.90,1.00,1.00,153,1357.122,613600,-52000,06-DEC-2024
OPTSTK,ABFRL,26-Dec-2024,2024-12-26,305.00,CE,11.00,12.05,9.00,10.45,10.45,1308,10724.961,364000,182000,06-DEC-2024
OPTSTK,ABFRL,26-Dec-2024,2024-12-26,280.00,PE,1.00,1.75,1.00,1.15,1.15,196,1433.9988,525200,-158600,06-DEC-2024
