INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1720.00,PE,0.00,0.00,0.00,93.90,141.85,0,0.00,2800,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1480.00,CE,0.00,0.00,0.00,115.75,105.70,0,0.00,350,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1480.00,PE,8.45,8.55,5.20,7.40,7.40,257,1337.46007,67550,5950,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1600.00,PE,53.00,53.00,53.00,53.00,61.10,2,11.571,4200,700,09-JAN-2025
OPTSTK,UNITDSPR,27-Mar-2025,2025-03-27,1600.00,CE,0.00,0.00,0.00,86.70,67.75,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1660.00,PE,0.00,0.00,0.00,86.35,89.25,0,0.00,30800,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1520.00,PE,13.20,15.80,9.70,14.20,14.20,391,2097.71887,91000,8750,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1800.00,CE,0.00,0.00,0.00,15.00,5.15,0,0.00,1400,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1400.00,CE,187.40,187.40,187.40,187.40,180.40,1,5.5559,39550,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1400.00,PE,2.15,3.00,1.65,2.30,2.30,251,1231.99037,93800,-4900,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1320.00,CE,0.00,0.00,0.00,179.30,259.60,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1520.00,CE,81.05,81.05,74.30,76.80,73.45,3,16.772525,4900,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1540.00,PE,21.20,22.30,13.35,19.50,19.50,517,2819.01515,79450,-3500,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1660.00,PE,0.00,0.00,0.00,117.05,98.55,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1500.00,PE,9.90,11.70,6.85,10.30,10.30,1258,6648.38825,122500,20650,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1500.00,PE,20.95,21.00,20.95,21.00,20.70,2,10.646825,9800,-350,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1440.00,PE,0.00,0.00,0.00,47.15,8.70,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1700.00,CE,23.00,25.00,23.00,24.30,18.10,6,36.215375,25200,700,09-JAN-2025
OPTSTK,UNITDSPR,27-Mar-2025,2025-03-27,1640.00,CE,0.00,0.00,0.00,69.80,50.90,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1620.00,CE,0.00,0.00,0.00,59.35,41.60,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1620.00,PE,55.45,59.90,49.00,59.55,59.50,56,328.025075,42350,-6650,09-JAN-2025
OPTSTK,UNITDSPR,27-Mar-2025,2025-03-27,1720.00,CE,0.00,0.00,0.00,43.65,26.85,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1720.00,CE,0.00,0.00,0.00,27.45,14.35,0,0.00,0,0,09-JAN-2025
FUTSTK,UNITDSPR,27-Feb-2025,2025-02-27,,,1597.55,1613.70,1588.45,1590.55,1590.55,105,587.4393,100800,9800,09-JAN-2025
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1500.00,CE,103.95,109.05,90.75,91.55,88.95,18,100.89345,17500,-1050,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1840.00,PE,0.00,0.00,0.00,315.65,251.85,0,0.00,0,0,09-JAN-2025
FUTSTK,UNITDSPR,27-Mar-2025,2025-03-27,,,1603.35,1611.20,1603.35,1603.70,1597.05,3,16.863875,7000,1050,09-JAN-2025
OPTSTK,UNITDSPR,27-Mar-2025,2025-03-27,1400.00,PE,0.00,0.00,0.00,20.10,9.15,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1760.00,PE,0.00,0.00,0.00,246.30,178.45,0,0.00,0,0,09-JAN-2025
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1540.00,CE,0.00,0.00,0.00,98.15,81.85,0,0.00,0,0,09-JAN-2025
